movie_id,title,release_date,budget,revenue,genres,vote_average,vote_count,country,imdb_id,metacritic_score
27205,Inception,2010-07-15,160000000,825532764,Action,8.362,33682,"['United Kingdom', 'United States of America']",tt1375666,74
27205,Inception,2010-07-15,160000000,825532764,Science Fiction,8.362,33682,"['United Kingdom', 'United States of America']",tt1375666,74
27205,Inception,2010-07-15,160000000,825532764,Adventure,8.362,33682,"['United Kingdom', 'United States of America']",tt1375666,74
157336,Interstellar,2014-11-05,165000000,701729206,Adventure,8.402,31367,"['United Kingdom', 'United States of America']",tt0816692,74
157336,Interstellar,2014-11-05,165000000,701729206,Drama,8.402,31367,"['United Kingdom', 'United States of America']",tt0816692,74
157336,Interstellar,2014-11-05,165000000,701729206,Science Fiction,8.402,31367,"['United Kingdom', 'United States of America']",tt0816692,74
155,The Dark Knight,2008-07-14,185000000,1004558444,Drama,8.51,29686,"['United Kingdom', 'United States of America']",tt0468569,84
155,The Dark Knight,2008-07-14,185000000,1004558444,Action,8.51,29686,"['United Kingdom', 'United States of America']",tt0468569,84
155,The Dark Knight,2008-07-14,185000000,1004558444,Crime,8.51,29686,"['United Kingdom', 'United States of America']",tt0468569,84
155,The Dark Knight,2008-07-14,185000000,1004558444,Thriller,8.51,29686,"['United Kingdom', 'United States of America']",tt0468569,84
19995,Avatar,2009-12-15,237000000,2923706026,Action,7.57,29073,"['United States of America', 'United Kingdom']",tt0499549,83
19995,Avatar,2009-12-15,237000000,2923706026,Adventure,7.57,29073,"['United States of America', 'United Kingdom']",tt0499549,83
19995,Avatar,2009-12-15,237000000,2923706026,Fantasy,7.57,29073,"['United States of America', 'United Kingdom']",tt0499549,83
19995,Avatar,2009-12-15,237000000,2923706026,Science Fiction,7.57,29073,"['United States of America', 'United Kingdom']",tt0499549,83
24428,The Avengers,2012-04-25,220000000,1518815515,Science Fiction,7.708,28576,['United States of America'],tt0848228,69
24428,The Avengers,2012-04-25,220000000,1518815515,Action,7.708,28576,['United States of America'],tt0848228,69
24428,The Avengers,2012-04-25,220000000,1518815515,Adventure,7.708,28576,['United States of America'],tt0848228,69
293660,Deadpool,2016-02-09,58000000,783100000,Action,7.603,28342,['United States of America'],tt1431045,65
293660,Deadpool,2016-02-09,58000000,783100000,Adventure,7.603,28342,['United States of America'],tt1431045,65
293660,Deadpool,2016-02-09,58000000,783100000,Comedy,7.603,28342,['United States of America'],tt1431045,65
299536,Avengers: Infinity War,2018-04-25,300000000,2046239637,Adventure,8.263,26866,['United States of America'],tt4154756,68
299536,Avengers: Infinity War,2018-04-25,300000000,2046239637,Action,8.263,26866,['United States of America'],tt4154756,68
299536,Avengers: Infinity War,2018-04-25,300000000,2046239637,Science Fiction,8.263,26866,['United States of America'],tt4154756,68
550,Fight Club,1999-10-15,63000000,100853753,Drama,8.433,26412,['United States of America'],tt0137523,66
550,Fight Club,1999-10-15,63000000,100853753,Thriller,8.433,26412,['United States of America'],tt0137523,66
550,Fight Club,1999-10-15,63000000,100853753,Comedy,8.433,26412,['United States of America'],tt0137523,66
118340,Guardians of the Galaxy,2014-07-30,170000000,772776600,Action,7.904,25958,['United States of America'],tt2015381,76
